Site_ID *,Site_Name,"""Other_Name""",Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
PR00001,Guanajibo,"""<Null>""",2018-07-17, iron,<Null>,<Null>,-67.159816,18.136267,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00001,Guanajibo,"""<Null>""",2018-07-17, nickel,<Null>,<Null>,-67.159816,18.136267,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00002,Punta Guanajibo,"""<Null>""",2018-07-17,cobalt,<Null>,<Null>,-67.178359,18.163555,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00002,Punta Guanajibo,"""<Null>""",2018-07-17, chromium,<Null>,<Null>,-67.178359,18.163555,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00002,Punta Guanajibo,"""<Null>""",2018-07-17, iron,<Null>,<Null>,-67.178359,18.163555,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00002,Punta Guanajibo,"""<Null>""",2018-07-17, nickel,<Null>,<Null>,-67.178359,18.163555,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00003,Las Mesas,"""<Null>""",2018-07-17,cobalt,<Null>,<Null>,-67.109461,18.18632,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00003,Las Mesas,"""<Null>""",2018-07-17, chromium,<Null>,<Null>,-67.109461,18.18632,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00003,Las Mesas,"""<Null>""",2018-07-17, iron,<Null>,<Null>,-67.109461,18.18632,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00003,Las Mesas,"""<Null>""",2018-07-17, nickel,<Null>,<Null>,-67.109461,18.18632,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00004,Rosario Southeast group,"""<Null>""",2018-07-17,cobalt,<Null>,<Null>,-67.030763,18.167927,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00004,Rosario Southeast group,"""<Null>""",2018-07-17, chromium,<Null>,<Null>,-67.030763,18.167927,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00004,Rosario Southeast group,"""<Null>""",2018-07-17, iron,<Null>,<Null>,-67.030763,18.167927,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00004,Rosario Southeast group,"""<Null>""",2018-07-17, nickel,<Null>,<Null>,-67.030763,18.167927,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00005,Maricao Southwest group,"""<Null>""",2018-07-17,cobalt,<Null>,<Null>,-66.985986,18.152549,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00005,Maricao Southwest group,"""<Null>""",2018-07-17, chromium,<Null>,<Null>,-66.985986,18.152549,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00005,Maricao Southwest group,"""<Null>""",2018-07-17, iron,<Null>,<Null>,-66.985986,18.152549,Yes,Yes,Yes,Yes,No,No,Yes,No
PR00005,Maricao Southwest group,"""<Null>""",2018-07-17, nickel,<Null>,<Null>,-66.985986,18.152549,Yes,Yes,Yes,Yes,No,No,Yes,No
TN00001,Ducktown District,"""Ducktown Basin""",2018-05-11,copper,Mr00037,"Some mineralization extends into Fannin County, GA, and Cherokee County, NC",-84.383,35.049,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
TN00001,Ducktown District,"""Ducktown Basin""",2018-05-11, cobalt,Mr00037,"Some mineralization extends into Fannin County, GA, and Cherokee County, NC",-84.383,35.049,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
TN00001,Ducktown District,"""Ducktown Basin""",2018-05-11, iron,Mr00037,"Some mineralization extends into Fannin County, GA, and Cherokee County, NC",-84.383,35.049,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
TN00001,Ducktown District,"""Ducktown Basin""",2018-05-11, zinc,Mr00037,"Some mineralization extends into Fannin County, GA, and Cherokee County, NC",-84.383,35.049,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
TN00001,Ducktown District,"""Ducktown Basin""",2018-05-11, lead,Mr00037,"Some mineralization extends into Fannin County, GA, and Cherokee County, NC",-84.383,35.049,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
TN00001,Ducktown District,"""Ducktown Basin""",2018-05-11, silver,Mr00037,"Some mineralization extends into Fannin County, GA, and Cherokee County, NC",-84.383,35.049,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
TN00001,Ducktown District,"""Ducktown Basin""",2018-05-11, gold,Mr00037,"Some mineralization extends into Fannin County, GA, and Cherokee County, NC",-84.383,35.049,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
